name,ticker,sector,pe_ratio,industry,market_cap,ytd_return
Activision Blizzard,ATVI,Communication Services,35.28,Software & IT Services,63795.23,0.35
T-Mobile US,TMUS,Communication Services,40.07,Telecommunications Services,139117.35,0.39
Becton Dickinson and Company,BDX,Health Care,78.81,Healthcare Equipment & Supplies,64872.58,-0.17
Marsh & Mclennan Companies,MMC,Financials,29.39,Insurance,58894.16,0.03
CSX Corp,CSX,Industrials,20.95,Freight & Logistics Services,59620.55,0.06
CME Group Inc,CME,Financials,25.13,Investment Banking & Investment Services,59743.66,-0.19
Progressive Corp,PGR,Financials,12.67,Insurance,55292.35,0.26
Cigna Corp,CI,Health Care,11.51,Healthcare Providers & Services,59391.03,-0.22
Fedex Corp,FDX,Industrials,35.89,Freight & Logistics Services,63920.14,0.60
Illinois Tool Works Inc,ITW,Industrials,28.40,Industrial Conglomerates,61047.96,0.06
Automatic Data Procs,ADP,Information Technology,23.38,Software & IT Services,57146.70,-0.25
Southern Company,SO,Utilities,17.42,Electrical Utilities & IPPs,56101.67,-0.18
General Electric Company,GE,Industrials,16.40,Industrial Conglomerates,54708.06,-0.45
Micron Technology,MU,Information Technology,24.85,Semiconductors & Semiconductor Equipment,55216.62,-0.07
Boston Scientific Corp,BSX,Health Care,0.00,Healthcare Equipment & Supplies,55224.04,-0.17
Square,SQ,Information Technology,342.34,Software & IT Services,69009.10,1.39
Norfolk Southern Corp,NSC,Industrials,26.96,Freight & Logistics Services,55203.09,0.10
Sherwin-Williams Company,SHW,Materials,37.10,Chemicals,57012.87,0.16
Fiserv Inc,FISV,Information Technology,80.40,Professional & Commercial Services,67694.91,-0.14
Northrop Grumman Corp,NOC,Industrials,0.00,Aerospace & Defense,55482.44,-0.05
Dollar General Corp,DG,Consumer Discretionary,22.63,Diversified Retail,51883.68,0.31
Morgan Stanley,MS,Financials,8.60,Investment Banking & Investment Services,75101.12,-0.09
Applied Materials,AMAT,Information Technology,16.82,Semiconductors & Semiconductor Equipment,52869.94,-0.06
Intercontinental Exchange,ICE,Financials,25.59,Investment Banking & Investment Services,55451.34,0.05
Regeneron Pharmaceuticals,REGN,Health Care,22.12,Biotechnology & Medical Research,60140.34,0.50
Global Payments Inc,GPN,Information Technology,121.90,Professional & Commercial Services,53821.90,-0.04
Humana Inc,HUM,Health Care,14.71,Healthcare Providers & Services,51165.47,0.05
Chubb Ltd,CB,Financials,24.30,Insurance,52376.50,-0.27
Newmont Mining Corp,NEM,Materials,12.92,Metals & Mining,51006.16,0.39
Kimberly-Clark Corp,KMB,Consumer Staples,19.76,Personal & Household Products & Services,50120.29,0.05
Autodesk Inc,ADSK,Information Technology,137.04,Software & IT Services,50337.73,0.21
Ecolab Inc,ECL,Materials,44.26,Chemicals,56837.23,0.01
Truist Financial Corp.,TFC,Financials,11.72,Banking Services,48850.82,-0.36
Waste Management,WM,Industrials,30.44,Professional & Commercial Services,48570.36,-0.02
Uber Technologies Inc,UBER,Industrials,0.00,Software & IT Services,60290.21,0.13
U.S. Bancorp,USB,Financials,11.17,Banking Services,53611.44,-0.42
Edwards Lifesciences Corp,EW,Health Care,67.35,Healthcare Equipment & Supplies,48918.55,-0.02
Lam Research Corp,LRCX,Information Technology,21.07,Semiconductors & Semiconductor Equipment,46409.30,0.08
PNC Bank,PNC,Financials,18.76,Banking Services,44725.62,-0.36
Estee Lauder Companies,EL,Consumer Staples,114.59,Personal & Household Products & Services,75707.64,0.00
Moody's Corp,MCO,Financials,30.56,Professional & Commercial Services,52391.53,0.15
Biogen Inc,BIIB,Health Care,7.99,Pharmaceuticals,43181.58,-0.08
Roper Industries,ROP,Industrials,25.68,"Machinery, Equipment & Components",41123.08,0.09
Dowdupont Inc,DD,Materials,0.00,Chemicals,40918.23,-0.15
The Charles Schwab Corp,SCHW,Financials,14.71,Investment Banking & Investment Services,45063.81,-0.27
Analog Devices,ADI,Information Technology,38.37,Semiconductors & Semiconductor Equipment,42388.51,-0.05
Baxter International Inc,BAX,Health Care,56.43,Healthcare Equipment & Supplies,40017.62,-0.06
L3Harris Technologies Inc.,LHX,Industrials,30.29,Aerospace & Defense,39077.32,-0.10
Eaton Corp,ETN,Industrials,26.72,"Machinery, Equipment & Components",39733.93,0.04
Emerson Electric Company,EMR,Industrials,20.37,"Machinery, Equipment & Components",38980.92,-0.16
General Motors Company,GM,Consumer Discretionary,28.03,Automobiles & Auto Parts,42131.48,-0.20
Digital Realty Trust,DLR,Real Estate,50.48,Residential & Commercial REIT,38576.54,0.16
American Electric Power Company,AEP,Utilities,20.80,Electrical Utilities & IPPs,39618.01,-0.16
Illumina Inc,ILMN,Health Care,57.48,Healthcare Equipment & Supplies,39299.22,-0.18
Dexcom,DXCM,Health Care,182.21,Healthcare Equipment & Supplies,38117.84,0.76
Docusign Inc,DOCU,Information Technology,0.00,Software & IT Services,39279.03,1.87
Electronic Arts Inc,EA,Communication Services,19.43,Software & IT Services,37838.16,0.19
Cognizant Tech Sol,CTSH,Information Technology,23.07,Software & IT Services,37007.93,0.08
Conocophillips,COP,Energy,16.83,Oil & Gas,36789.02,-0.49
Veeva Systems Inc,VEEV,Health Care,143.52,Healthcare Equipment & Supplies,41241.97,0.93
General Mills,GIS,Consumer Staples,16.30,Food & Tobacco,35427.13,0.08
Dow Inc,DOW,Materials,0.00,Chemicals,35425.61,-0.15
XCEL Energy Inc,XEL,Utilities,25.04,Electrical Utilities & IPPs,35129.64,0.04
Workday Inc,WDAY,Information Technology,0.00,Software & IT Services,50230.64,0.26
General Dynamics Corp,GD,Industrials,12.39,Aerospace & Defense,39921.01,-0.23
Sempra Energy,SRE,Utilities,17.20,Multiline Utilities,34436.36,-0.24
O'Reilly Automotive,ORLY,Consumer Discretionary,22.32,Specialty Retailers,33729.10,0.02
Sysco Corp,SYY,Consumer Staples,161.93,Food & Drug Retailing,32556.45,-0.29
SBA Communications,SBAC,Real Estate,229.56,Residential & Commercial REIT,35059.15,0.27
Ebay Inc,EBAY,Consumer Discretionary,18.60,Software & IT Services,35637.95,0.40
Centene Corp,CNC,Health Care,19.02,Healthcare Providers & Services,31488.37,-0.13
Twilio,TWLO,Information Technology,0.00,Software & IT Services,35122.23,1.36
Public Storage,PSA,Real Estate,31.31,Residential & Commercial REIT,38346.49,0.00
Ross Stores Inc,ROST,Consumer Discretionary,60.31,Specialty Retailers,32261.23,-0.25
Hca Holdings Inc,HCA,Health Care,12.44,Healthcare Providers & Services,40783.72,-0.21
Capital One Financial Corp,COF,Financials,0.00,Banking Services,31946.24,-0.34
Exelon Corp,EXC,Utilities,12.98,Electrical Utilities & IPPs,34312.28,-0.24
Chipotle Mexican Grill,CMG,Consumer Discretionary,137.02,Hotels & Entertainment Services,34528.27,0.49
Costar Group Inc,CSGP,Industrials,103.12,Software & IT Services,32969.94,0.37
Lululemon Athletica,LULU,Consumer Discretionary,76.05,Textiles & Apparel,40866.25,0.37
Spotify Technology S.A.,SPOT,Communication Services,0.00,Software & IT Services,45149.77,0.57
Wisconsin Energy Corp,WEC,Utilities,25.77,Electrical Utilities & IPPs,30092.45,0.01
Zimmer Biomet Holdings,ZBH,Health Care,828.14,Healthcare Equipment & Supplies,28065.60,-0.11
IHS Markit Ltd,INFO,Industrials,39.84,Professional & Commercial Services,31205.11,0.02
Verisk Analytics Inc,VRSK,Industrials,57.95,Software & IT Services,29292.79,0.19
Twitter Inc,TWTR,Communication Services,0.00,Software & IT Services,33703.24,0.41
K L A-Tencor Corp,KLAC,Information Technology,23.82,Semiconductors & Semiconductor Equipment,28496.08,0.01
Cummins Inc,CMI,Industrials,18.20,Automobiles & Auto Parts,30146.73,0.13
Splunk Inc,SPLK,Information Technology,0.00,Software & IT Services,29661.66,0.19
T Rowe Price Group,TROW,Financials,14.88,Investment Banking & Investment Services,28482.16,0.01
Idexx Laboratories,IDXX,Health Care,69.60,Healthcare Equipment & Supplies,31327.34,0.39
Iqvia Holdings Inc,IQV,Health Care,230.15,Biotechnology & Medical Research,29321.84,-0.03
Cadence Design Sys,CDNS,Information Technology,28.31,Software & IT Services,28668.39,0.44
Johnson Controls Intl,JCI,Industrials,40.67,"Machinery, Equipment & Components",30751.48,-0.01
PPG Industries,PPG,Materials,28.68,Chemicals,28510.78,-0.11
MSCI Inc,MSCI,Financials,57.27,Professional & Commercial Services,29376.72,0.34
Paccar Inc,PCAR,Industrials,17.36,"Machinery, Equipment & Components",28501.90,0.03
Amphenol Corp,APH,Information Technology,29.17,Electronic Equipment & Parts,31216.19,-0.05
Cintas Corp,CTAS,Industrials,40.01,Professional & Commercial Services,34198.20,0.18
Monster Beverage Cp,MNST,Consumer Staples,37.41,Beverages,41785.62,0.22
Synopsys Inc,SNPS,Information Technology,50.66,Software & IT Services,31080.79,0.42
Agilent Technologies,A,Health Care,44.57,Healthcare Equipment & Supplies,30405.50,0.14
Metlife Inc,MET,Financials,4.80,Insurance,33538.13,-0.29
Constellation Brands Inc,STZ,Consumer Staples,872.24,Beverages,36008.23,-0.02
Allstate Corp,ALL,Financials,6.92,Insurance,28839.27,-0.20
Ford Motor Company,F,Consumer Discretionary,0.00,Automobiles & Auto Parts,26973.48,-0.29
Resmed Inc,RMD,Health Care,40.36,Healthcare Equipment & Supplies,24960.59,0.09
Consolidated Edison Company of New York,ED,Utilities,18.46,Electrical Utilities & IPPs,24652.40,-0.19
Marriot Int Cl A,MAR,Consumer Discretionary,68.98,Hotels & Entertainment Services,30972.09,-0.39
Autozone,AZO,Consumer Discretionary,17.25,Specialty Retailers,27273.01,-0.05
Parker-Hannifin Corp,PH,Industrials,21.61,"Machinery, Equipment & Components",25793.32,-0.05
Marvell Tech Group,MRVL,Information Technology,19.51,Semiconductors & Semiconductor Equipment,26042.43,0.41
Kinder Morgan,KMI,Energy,181.87,Oil & Gas Related Equipment and Services,28973.26,-0.42
Ball Corp,BLL,Materials,74.18,Containers & Packaging,26641.33,0.23
Aflac Incorporated,AFL,Financials,9.09,Insurance,25928.62,-0.33
Walgreens Boots Alliance,WBA,Consumer Staples,43.80,Food & Drug Retailing,30952.60,-0.40
The Travelers Companies Inc,TRV,Financials,15.59,Insurance,27661.14,-0.22
Paychex Inc,PAYX,Information Technology,25.51,Professional & Commercial Services,27934.19,-0.10
Willis Towers WT,WLTW,Financials,25.16,Insurance,26244.59,0.01
Fastenal Company,FAST,Industrials,30.88,"Machinery, Equipment & Components",25692.72,0.20
American Water Works,AWK,Utilities,39.77,Water Utilities,25399.37,0.12
Align Technology,ALGN,Health Care,15.00,Healthcare Equipment & Supplies,25414.22,0.10
Clorox Company,CLX,Consumer Staples,28.91,Personal & Household Products & Services,26805.23,0.38
Archer Daniels Midland,ADM,Consumer Staples,14.62,Food & Tobacco,26115.40,-0.03
Williams Companies,WMB,Energy,177.44,Oil & Gas Related Equipment and Services,25254.15,-0.16
Hp Inc,HPQ,Information Technology,10.41,"Computers, Phones & Household Electronics",25327.28,-0.11
Transdigm Group Inc,TDG,Industrials,49.71,Aerospace & Defense,27213.18,-0.14
Yum! Brands,YUM,Consumer Discretionary,27.20,Hotels & Entertainment Services,27303.79,-0.11
Bank of New York Mellon Corp,BK,Financials,7.21,Investment Banking & Investment Services,29658.65,-0.34
Motorola Solutions,MSI,Information Technology,32.76,Communications & Networking,26702.42,-0.06
Ansys Inc,ANSS,Information Technology,68.75,Software & IT Services,27061.36,0.18
Public Service Enterprise Group Inc,PEG,Utilities,15.30,Electrical Utilities & IPPs,26537.00,-0.12
Eversource Energy,ES,Utilities,22.61,Electrical Utilities & IPPs,27063.91,-0.08
Prudential Financial Inc,PRU,Financials,0.00,Insurance,25139.97,-0.34
Kroger Company,KR,Consumer Staples,10.31,Food & Drug Retailing,26148.50,0.15
Stanley Black & Decker Inc,SWK,Industrials,29.77,"Machinery, Equipment & Components",25143.49,-0.05
V.F. Corp,VFC,Consumer Discretionary,207.44,Textiles & Apparel,26994.86,-0.31
D.R. Horton,DHI,Consumer Discretionary,13.67,Homebuilding & Construction Supplies,27463.18,0.35
Rockwell Automation Inc,ROK,Industrials,32.47,"Machinery, Equipment & Components",24827.37,0.05
Church & Dwight Company,CHD,Consumer Staples,31.94,Personal & Household Products & Services,22651.30,0.30
Mckesson Corp,MCK,Health Care,27.31,Food & Drug Retailing,24265.21,0.06
Dte Energy Company,DTE,Utilities,17.70,Electrical Utilities & IPPs,21578.81,-0.14
Mccormick & Company Inc,MKC,Consumer Staples,34.69,Food & Tobacco,25632.58,0.09
Freeport-Mcmoran Inc,FCX,Materials,0.00,Metals & Mining,22770.79,0.13
Hilton Inc,HLT,Consumer Discretionary,665.21,Hotels & Entertainment Services,23637.85,-0.24
Eog Resources,EOG,Energy,63.86,Oil & Gas,22387.26,-0.57
Corteva Inc,CTVA,Materials,45.10,Food & Tobacco,21027.30,-0.07
Best Buy Company,BBY,Consumer Discretionary,17.43,Specialty Retailers,27858.10,0.21
Southwest Airlines Company,LUV,Industrials,111.81,Passenger Transportation Services,22485.92,-0.30
Palo Alto Networks Inc,PANW,Information Technology,0.00,Software & IT Services,23756.02,0.03
Okta Inc Cl A,OKTA,Information Technology,0.00,Software & IT Services,27136.79,0.80
Aptiv Plc,APTV,Consumer Discretionary,12.87,Automobiles & Auto Parts,22819.84,-0.11
Atlassian Cls A Ord,TEAM,Information Technology,0.00,Software & IT Services,44697.81,0.47
